,no.,If data status,Max val,Tests,series gen (sec),My way (sec),Conventional way (sec)
0,1,New,10000,1000,0.0624952,0.7790849,0.7768679000000001
1,1,Append,10000,1000,0.0538906,0.7275436,0.7040221999999999
2,1,Stored,10000,1000,0.0009926,0.6826711,0.9253691999999999
3,2,New,20000,1000,0.23484610000000003,1.1134726000000001,1.6557513
4,2,Append,20000,1000,0.1237549,1.1398732,1.6983863999999997
5,2,Stored,20000,1000,0.000999,1.1579521000000002,1.5254923999999999
6,3,New,30000,1000,0.5220157999999999,1.3830338,2.7015932
7,3,Append,30000,1000,0.20878400000000003,1.5261743,2.394605
8,3,Stored,30000,1000,0.0020559000000000003,1.4563242,2.547935
9,4,New,40000,1000,1.3806075,3.0270143,6.2135168
10,4,Append,40000,1000,0.4548412,2.9764715,6.5435798
11,4,Stored,40000,1000,0.0,2.7670014,6.4506761
12,5,New,50000,1000,1.9779806,3.1805482999999994,7.068090799999999
13,5,Append,50000,1000,0.5969372,3.3745529000000003,7.7364838
14,5,Stored,50000,1000,0.0043832,3.2571447,6.941502099999999
15,6,New,60000,1000,1.5351643,2.2002053,5.3187425
16,6,Append,60000,1000,0.481937,2.4627816000000005,6.0297753
17,6,Stored,60000,1000,0.0,2.7208080000000003,6.0032304000000005
18,7,New,70000,1000,1.787838,2.6912392000000005,5.9058399
19,7,Append,70000,1000,0.5968434,2.9165111,6.1391765
20,7,Stored,70000,1000,0.0029918,2.8164238,5.1174691
21,8,New,80000,1000,2.4399637999999997,2.7754747,6.669639200000001
22,8,Append,80000,1000,0.49533320000000003,2.7972398,7.2380914
23,8,Stored,80000,1000,0.0039756,3.0047801,7.161903999999999
24,9,New,90000,1000,2.8056207000000004,3.3490964,8.3229709
25,9,Append,90000,1000,0.5143565999999999,2.9878112999999997,7.286842200000001
26,9,Stored,90000,1000,0.0039944,3.239448,7.831509700000001
