No,Index,Mode,Max_number,Test_cases,Series_gen_time_unit,Prime_way,Series_gen_and_test,Conventional_way

1,1,New,10000 N,1000,0.0747988,0.9678253,1.0406294,0.8112329

2,1,Stored,10000 S,1000,0.001035,0.9974459,0.9974816,0.6791498

3,2,Append,20000 A,1000,0.1247213,1.4102185,1.5329459,1.6046381

4,2,New,20000 N,1000,0.1660614,1.2727117,1.4387731,1.511102

5,2,Stored,20000 S,1000,0.0019944,1.4093418,1.4103382,1.4024077

6,3,Append,30000 A,1000,0.1711054,1.5281351,1.6992405,2.2484209

7,3,New,30000 N,1000,0.3410967,1.5118792,1.8529759,2.3529115

8,3,Stored,30000 S,1000,0.0022351,1.6479179,1.6481752,2.1794746

9,4,Append,40000 A,1000,0.2453593,2.1011568,2.3465161,2.9113228

10,4,New,40000 N,1000,0.650971,2.1277774,2.7787484,2.9756347

11,4,Stored,40000 S,1000,0.0020218,2.1139841,2.1129832,2.8478522

12,5,Append,50000 A,1000,0.2903753,2.1392421,2.4296174,3.6684164

13,5,New,50000 N,1000,0.8774869,2.0573285,2.9191939,3.886542

14,5,Stored,50000 S,1000,0.0030172,2.4531743,2.4531627,3.8732814

15,6,Append,60000 A,1000,0.3854113,2.9517303,3.3371416,5.0393714

16,6,New,60000 N,1000,1.6834033,2.5500491,4.2334524,4.984856

17,6,Stored,60000 S,1000,0.0020147,2.5888292,2.5878564,4.6215791

18,7,Append,70000 A,1000,0.3870421,2.148117,2.5351591,5.9192002

19,7,New,70000 N,1000,1.7115484,2.8686526,4.5772182,5.291361

20,7,Stored,70000 S,1000,0.0029902,2.6509022,2.6499091,5.2240322

21,8,Append,80000 A,1000,0.4857346,3.6024705,4.0882051,6.5767905

22,8,New,80000 N,1000,2.1791168,3.6203965,5.7838851,6.2879084

23,8,Stored,80000 S,1000,0.0059831,3.5999806,3.6019757,6.2654432

24,9,Append,90000 A,1000,0.4815983,3.251338,3.7329363,6.86165

25,9,New,90000 N,1000,2.6450404,3.3228175,5.9678579,7.0286622

26,9,Stored,90000 S,1000,0.0030194,3.3311648,3.3287746,7.3545357

